t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
170.375,0,26,-44,1.25,0.4,0.4
170.395,0,25,-44,1.25,0.4,0.4
170.415,0,24,-44,1.25,0.4,0.4
170.435,0,22,-5.54931640625,1.25,0.4,0.4
170.455,0,19.5,-2.58831787109375,1.25,0.4,0.4
170.475,0,17.5,-0.23331832885742188,1.25,0.4,0.4
170.495,0,16,-38.48931884765625,1.25,0.4,0.4
170.515,0,15,-37.360321044921875,1.25,0.4,0.4
170.535,0,13.5,4.403678894042969,1.25,0.4,0.4
170.555,0,12,-33.821319580078125,1.25,0.4,0.4
170.575,0,10,44,1.25,0.4,0.4
170.595,0,9,-30.235319137573242,1.25,0.4,0.4
170.615,0,7.5,11.575681686401367,1.25,0.4,0.4
170.635,0,6.5,12.769681930541992,1.25,0.4,0.4
170.655,0,6,-26.653316497802734,1.25,0.4,0.4
170.675,0,5.5,-26.07331657409668,1.25,0.4,0.4
170.695,0,4,44,1.25,0.4,0.4
170.715,0,2,44,1.25,0.4,0.4
170.735,0,0,44,1.25,0.4,0.4
170.755,0,-2,-16.759319305419922,1.25,0.4,0.4
170.775,0,-3,-15.48731803894043,1.25,0.4,0.4
170.795,0,-2.5,-16.091318130493164,1.25,0.4,0.4
170.815,0,-2.5,-16.071317672729492,1.25,0.4,0.4
170.835,0,-3,24.574684143066406,1.25,0.4,0.4
170.855,0,-4,25.8516845703125,1.25,0.4,0.4
170.875,0,-4,-14.116315841674805,1.25,0.4,0.4
170.895,0,-4.5,-13.456315994262695,1.25,0.4,0.4
170.915,0,-6,44,1.25,0.4,0.4
170.935,0,-6.5,-10.864315032958984,1.25,0.4,0.4
170.955,0,-8,31.069684982299805,1.25,0.4,0.4
170.975,0,-9,32.38668441772461,1.25,0.4,0.4
170.995,0,-9,-7.541318893432617,1.25,0.4,0.4
171.015,0,-10,-6.2113189697265625,1.25,0.4,0.4
171.035,0,-10.5,34.49468231201172,1.25,0.4,0.4
171.055,0,-10.5,-5.421316146850586,1.25,0.4,0.4
171.075,0,-11,-4.710315704345703,1.25,0.4,0.4
171.095,0,-11,-4.622314453125,1.25,0.4,0.4
171.115,0,-10.5,-5.161314010620117,1.25,0.4,0.4
171.135,0,-10,-44,1.25,0.4,0.4
171.155,0,-10,-5.623311996459961,1.25,0.4,0.4
171.175,0,-10,-5.543313980102539,1.25,0.4,0.4
171.195,0,-10,-5.463315963745117,1.25,0.4,0.4
171.215,0,-10,-5.3833160400390625,1.25,0.4,0.4
171.235,0,-10,-5.303318023681641,1.25,0.4,0.4
171.255,0,-10,-5.223318099975586,1.25,0.4,0.4
171.275,0,-10,-5.143320083618164,1.25,0.4,0.4
171.295,0,-10,-5.063322067260742,1.25,0.4,0.4
171.315,0,-10,-4.9833221435546875,1.25,0.4,0.4
171.335,0,-10,-4.903324127197266,1.25,0.4,0.4
171.355,0,-9.5,-44,1.25,0.4,0.4
171.375,0,-9,-6.002326965332031,1.25,0.4,0.4
171.395,0,-9,-5.930330276489258,1.25,0.4,0.4
171.415,0,-8.5,-44,1.25,0.4,0.4
171.435,0,-8.5,-6.41633415222168,1.25,0.4,0.4
171.455,0,-8.5,-6.348333358764648,1.25,0.4,0.4
171.475,0,-8,-6.908332824707031,1.25,0.4,0.4
171.495,0,-8,-6.844331741333008,1.25,0.4,0.4
171.515,0,-8,-6.780330657958984,1.25,0.4,0.4
171.535,0,-8,-6.716329574584961,1.25,0.4,0.4
171.555,0,-8,-6.652326583862305,1.25,0.4,0.4
171.575,0,-8,-6.588325500488281,1.25,0.4,0.4
171.595,0,-8,-6.524324417114258,1.25,0.4,0.4
171.615,0,-8,-6.460323333740234,1.25,0.4,0.4
171.635,0,-8,-6.396322250366211,1.25,0.4,0.4
171.655,0,-8,-6.332319259643555,1.25,0.4,0.4
171.675,0,-8,-6.268318176269531,1.25,0.4,0.4
171.695,0,-8.5,-5.576318740844727,1.25,0.4,0.4
171.715,0,-8.5,-5.508319854736328,1.25,0.4,0.4
171.735,0,-9,-4.812322616577148,1.25,0.4,0.4
171.755,0,-9,-4.740324974060059,1.25,0.4,0.4
171.775,0,-9.5,-4.0403242111206055,1.25,0.4,0.4
171.795,0,-10,-3.3353261947631836,1.25,0.4,0.4
171.815,0,-9,-4.511326789855957,1.25,0.4,0.4
171.835,0,-9,-4.439330101013184,1.25,0.4,0.4
171.855,0,-9,-4.367332458496094,1.25,0.4,0.4
171.875,0,-9,-4.29533576965332,1.25,0.4,0.4
171.895,0,-8.5,-44,1.25,0.4,0.4
171.915,0,-8.5,-44,1.25,0.4,0.4
171.935,0,-9,-4.084342002868652,1.25,0.4,0.4
171.955,0,-9,-4.0123443603515625,1.25,0.4,0.4
171.975,0,-9.5,36.688655853271484,1.25,0.4,0.4
171.995,0,-9.5,36.76265335083008,1.25,0.4,0.4
172.015,0,-9,-3.790349006652832,1.25,0.4,0.4
172.035,0,-10,37.53464889526367,1.25,0.4,0.4
172.055,0,-9.5,-43.012351989746094,1.25,0.4,0.4
172.075,0,-9,-3.5653533935546875,1.25,0.4,0.4
172.095,0,-8,-4.749353408813477,1.25,0.4,0.4
172.115,0,-8,-4.685351371765137,1.25,0.4,0.4
172.135,0,-7,-5.8753509521484375,1.25,0.4,0.4
172.155,0,-7,-5.8193511962890625,1.25,0.4,0.4
172.175,0,-8,-4.505350112915039,1.25,0.4,0.4
172.195,0,-8,-4.441348075866699,1.25,0.4,0.4
172.215,0,-8,-4.377346992492676,1.25,0.4,0.4
172.235,0,-8.5,-3.685347557067871,1.25,0.4,0.4
172.255,0,-8.5,-3.6173477172851562,1.25,0.4,0.4
172.275,0,-8.5,-3.549348831176758,1.25,0.4,0.4
172.295,0,-8,-44,1.25,0.4,0.4
172.315,0,-8.5,36.5826530456543,1.25,0.4,0.4
172.335,0,-8.5,-3.349349021911621,1.25,0.4,0.4
172.355,0,-8.5,-3.2813491821289062,1.25,0.4,0.4
172.375,0,-8.5,-3.213350296020508,1.25,0.4,0.4
172.395,0,-8,-3.774348258972168,1.25,0.4,0.4
172.415,0,-8,-3.7103471755981445,1.25,0.4,0.4
172.435,0,-7,-44,1.25,0.4,0.4
172.455,0,-6.5,-44,1.25,0.4,0.4
172.475,0,-6.5,-5.416343688964844,1.25,0.4,0.4
172.495,0,-7,35.26165771484375,1.25,0.4,0.4
172.515,0,-7,-4.682342529296875,1.25,0.4,0.4
172.535,0,-7,-4.6263427734375,1.25,0.4,0.4
172.555,0,-7,-4.570343017578125,1.25,0.4,0.4
172.575,0,-6.5,-5.142341613769531,1.25,0.4,0.4
172.595,0,-7,-4.463340759277344,1.25,0.4,0.4
172.615,0,-7,-4.407341003417969,1.25,0.4,0.4
172.635,0,-7,-4.351341247558594,1.25,0.4,0.4
172.655,0,-7.5,-3.6683425903320312,1.25,0.4,0.4
172.675,0,-7,-44,1.25,0.4,0.4
172.695,0,-7,-4.1763458251953125,1.25,0.4,0.4
172.715,0,-8,-2.864344596862793,1.25,0.4,0.4
172.735,0,-8.5,-2.173344612121582,1.25,0.4,0.4
172.755,0,-9,-1.476344108581543,1.25,0.4,0.4
172.775,0,-10,-0.14934444427490234,1.25,0.4,0.4
172.795,0,-10,-0.06934642791748047,1.25,0.4,0.4
172.815,0,-10,0.010652542114257812,1.25,0.4,0.4
