t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
87.475,90,92,16.200000762939453,1.9,0,0.2
87.495,90,92,-3.799999952316284,1.9,0,0.2
87.515,90,92,-3.799999952316284,1.9,0,0.2
87.535,90,92,-3.799999952316284,1.9,0,0.2
87.555,90,92,-3.799999952316284,1.9,0,0.2
87.575,90,92.5,-4.75,1.9,0,0.2
87.595,90,93,-5.699999809265137,1.9,0,0.2
87.615,90,92.5,15.25,1.9,0,0.2
87.635,90,92.5,-4.75,1.9,0,0.2
87.655,90,92.5,-4.75,1.9,0,0.2
87.675,90,93,-5.699999809265137,1.9,0,0.2
87.695,90,93,-5.699999809265137,1.9,0,0.2
87.715,90,92.5,-4.75,1.9,0,0.2
87.735,90,92.5,-4.75,1.9,0,0.2
87.755,90,92.5,-4.75,1.9,0,0.2
87.775,90,92,16.200000762939453,1.9,0,0.2
87.795,90,92,-3.799999952316284,1.9,0,0.2
87.815,90,92.5,-4.75,1.9,0,0.2
87.835,90,93,-5.699999809265137,1.9,0,0.2
87.855,90,93,-5.699999809265137,1.9,0,0.2
87.875,90,93,-5.699999809265137,1.9,0,0.2
87.895,90,92.5,15.25,1.9,0,0.2
87.915,90,92,-3.799999952316284,1.9,0,0.2
87.935,90,92,-3.799999952316284,1.9,0,0.2
87.955,90,92,-3.799999952316284,1.9,0,0.2
87.975,90,92.5,-4.75,1.9,0,0.2
87.995,90,92,16.200000762939453,1.9,0,0.2
88.015,90,92,-3.799999952316284,1.9,0,0.2
88.035,90,92,-3.799999952316284,1.9,0,0.2
88.055,90,92.5,-4.75,1.9,0,0.2
88.075,90,92.5,15.25,1.9,0,0.2
88.095,90,92.5,-4.75,1.9,0,0.2
88.115,90,93,-25.700000762939453,1.9,0,0.2
88.135,90,92.5,15.25,1.9,0,0.2
88.155,90,92,16.200000762939453,1.9,0,0.2
88.175,90,92.5,-4.75,1.9,0,0.2
88.195,90,92.5,-4.75,1.9,0,0.2
88.215,90,92.5,-4.75,1.9,0,0.2
88.235,90,92.5,-4.75,1.9,0,0.2
88.255,90,92.5,-4.75,1.9,0,0.2
88.275,90,92.5,-4.75,1.9,0,0.2
88.295,90,92,-3.799999952316284,1.9,0,0.2
88.315,90,92,-3.799999952316284,1.9,0,0.2
88.335,90,92.5,-4.75,1.9,0,0.2
88.355,90,93,-5.699999809265137,1.9,0,0.2
88.375,90,92.5,-4.75,1.9,0,0.2
88.395,90,92.5,-4.75,1.9,0,0.2
88.415,90,92.5,-4.75,1.9,0,0.2
88.435,90,93,-5.699999809265137,1.9,0,0.2
88.455,90,93.5,-26.649999618530273,1.9,0,0.2
88.475,90,93.5,-6.650000095367432,1.9,0,0.2
88.495,90,93.5,-6.650000095367432,1.9,0,0.2
88.515,90,93.5,-26.649999618530273,1.9,0,0.2
88.535,90,93.5,-6.650000095367432,1.9,0,0.2
88.555,90,93.5,-6.650000095367432,1.9,0,0.2
88.575,90,93.5,-6.650000095367432,1.9,0,0.2
88.595,90,93,14.300000190734863,1.9,0,0.2
88.615,90,93,-5.699999809265137,1.9,0,0.2
88.635,90,93,-5.699999809265137,1.9,0,0.2
88.655,90,93,-5.699999809265137,1.9,0,0.2
88.675,90,93,-5.699999809265137,1.9,0,0.2
88.695,90,93.5,-6.650000095367432,1.9,0,0.2
88.715,90,93.5,-6.650000095367432,1.9,0,0.2
88.735,90,93.5,-6.650000095367432,1.9,0,0.2
88.755,90,93.5,-6.650000095367432,1.9,0,0.2
88.775,90,93,14.300000190734863,1.9,0,0.2
88.795,90,93,-5.699999809265137,1.9,0,0.2
88.815,90,93.5,-6.650000095367432,1.9,0,0.2
88.835,90,93.5,-6.650000095367432,1.9,0,0.2
88.855,90,94,-27.600000381469727,1.9,0,0.2
